Titres;*chaine_BarbareCivilise;*chaine_FDENEWS;*chaine_JulienRochedy;*chaine_codeReinho;*chaine_LeRaptor;*chaine_ThaisdEscufon;*chaine_VAplus;*chaine_LAssimile;*chaine_Valek;*chaine_Psyhodelik;*chaine_BrunoleSale;*chaine_ElRayhan;*chaine_BENCHCIGARS;*chaine_Ring
rapport;1;0;1;2;1;3;2;0;2;1;0;0;2;1
auteurs;6;0;0;0;0;1;0;0;0;0;0;0;0;0
exemple;6;1;13;2;2;7;6;1;12;2;4;6;3;12
fond;1;0;2;1;1;0;1;0;0;0;0;0;2;3
emporter;1;0;0;0;0;0;0;0;1;0;0;0;0;0
tôt;1;0;0;0;4;0;0;1;0;0;0;0;0;0
disons;2;0;0;0;0;0;0;0;0;0;0;0;0;0
alors;11;3;15;12;15;13;36;2;18;16;7;7;18;23
tout;19;7;19;27;60;21;14;20;27;12;21;24;32;24
fois;3;0;4;4;7;5;3;3;6;5;6;1;8;4
distraction;1;0;0;0;0;0;0;0;0;1;0;0;0;0
culture;1;1;2;0;2;3;1;14;3;0;0;0;7;2
chemin;2;0;0;0;0;1;0;1;0;0;0;0;0;0
jusque;1;0;0;0;2;0;1;1;0;0;0;0;0;0
entre;2;2;4;2;3;7;6;3;24;0;1;5;3;6
agréable;2;0;0;0;0;0;0;0;0;0;0;0;1;0
autre;9;2;5;4;4;11;8;6;5;1;3;2;5;4
an;1;0;0;0;5;0;0;0;0;2;0;1;1;1
étude;1;0;0;0;0;1;2;2;7;0;0;0;0;1
genre;3;0;1;1;1;9;8;0;0;5;1;1;4;4
faut;7;3;4;1;9;20;8;7;15;6;7;2;19;12
attention;2;0;0;0;2;0;1;0;2;1;3;0;4;0
notamment;3;1;1;0;2;3;4;0;1;0;0;0;2;0
petit;6;11;7;5;26;1;2;2;1;5;4;5;11;5
peu;7;1;8;10;29;4;6;7;8;6;5;8;20;11
complexe;1;0;0;0;0;1;0;0;2;0;0;0;0;0
souligner;4;0;0;0;0;0;0;0;0;0;0;0;0;0
comprend;2;0;0;0;0;0;0;1;0;0;2;1;1;1
page;10;1;0;0;0;0;1;0;0;0;0;0;0;0
